timestamp_unix,timestamp_iso,participant_full_id,wearing_detection_percentage,missing_value_reason
1733395920000,2024-12-05T10:52:00Z,1573-1-1-00002,,device_not_recording
1733395980000,2024-12-05T10:53:00Z,1573-1-1-00002,,device_not_recording
1733396040000,2024-12-05T10:54:00Z,1573-1-1-00002,,device_not_recording
1733396100000,2024-12-05T10:55:00Z,1573-1-1-00002,,device_not_recording
1733396160000,2024-12-05T10:56:00Z,1573-1-1-00002,,device_not_recording
1733396220000,2024-12-05T10:57:00Z,1573-1-1-00002,,device_not_recording
1733396280000,2024-12-05T10:58:00Z,1573-1-1-00002,,device_not_recording
1733396340000,2024-12-05T10:59:00Z,1573-1-1-00002,,device_not_recording
1733396400000,2024-12-05T11:00:00Z,1573-1-1-00002,,device_not_recording
1733396460000,2024-12-05T11:01:00Z,1573-1-1-00002,,device_not_recording
1733396520000,2024-12-05T11:02:00Z,1573-1-1-00002,,device_not_recording
1733396580000,2024-12-05T11:03:00Z,1573-1-1-00002,,device_not_recording
1733396640000,2024-12-05T11:04:00Z,1573-1-1-00002,,device_not_recording
1733396700000,2024-12-05T11:05:00Z,1573-1-1-00002,,device_not_recording
1733396760000,2024-12-05T11:06:00Z,1573-1-1-00002,,device_not_recording
1733396820000,2024-12-05T11:07:00Z,1573-1-1-00002,,device_not_recording
1733396880000,2024-12-05T11:08:00Z,1573-1-1-00002,,device_not_recording
1733396940000,2024-12-05T11:09:00Z,1573-1-1-00002,,device_not_recording
1733397000000,2024-12-05T11:10:00Z,1573-1-1-00002,,device_not_recording
1733397060000,2024-12-05T11:11:00Z,1573-1-1-00002,,device_not_recording
1733397120000,2024-12-05T11:12:00Z,1573-1-1-00002,,device_not_recording
1733397180000,2024-12-05T11:13:00Z,1573-1-1-00002,,device_not_recording
1733397240000,2024-12-05T11:14:00Z,1573-1-1-00002,,device_not_recording
1733397300000,2024-12-05T11:15:00Z,1573-1-1-00002,,device_not_recording
1733397360000,2024-12-05T11:16:00Z,1573-1-1-00002,,device_not_recording
1733397420000,2024-12-05T11:17:00Z,1573-1-1-00002,,device_not_recording
1733397480000,2024-12-05T11:18:00Z,1573-1-1-00002,,device_not_recording
1733397540000,2024-12-05T11:19:00Z,1573-1-1-00002,,device_not_recording
1733397600000,2024-12-05T11:20:00Z,1573-1-1-00002,,device_not_recording
1733397660000,2024-12-05T11:21:00Z,1573-1-1-00002,,device_not_recording
1733397720000,2024-12-05T11:22:00Z,1573-1-1-00002,,device_not_recording
1733397780000,2024-12-05T11:23:00Z,1573-1-1-00002,,device_not_recording
1733397840000,2024-12-05T11:24:00Z,1573-1-1-00002,,device_not_recording
1733397900000,2024-12-05T11:25:00Z,1573-1-1-00002,,device_not_recording
1733397960000,2024-12-05T11:26:00Z,1573-1-1-00002,,device_not_recording
1733398020000,2024-12-05T11:27:00Z,1573-1-1-00002,,device_not_recording
1733398080000,2024-12-05T11:28:00Z,1573-1-1-00002,,device_not_recording
1733398140000,2024-12-05T11:29:00Z,1573-1-1-00002,,device_not_recording
1733398200000,2024-12-05T11:30:00Z,1573-1-1-00002,,device_not_recording
1733398260000,2024-12-05T11:31:00Z,1573-1-1-00002,,device_not_recording
1733398320000,2024-12-05T11:32:00Z,1573-1-1-00002,,device_not_recording
1733398380000,2024-12-05T11:33:00Z,1573-1-1-00002,,device_not_recording
1733398440000,2024-12-05T11:34:00Z,1573-1-1-00002,,device_not_recording
1733398500000,2024-12-05T11:35:00Z,1573-1-1-00002,,device_not_recording
1733398560000,2024-12-05T11:36:00Z,1573-1-1-00002,,device_not_recording
1733398620000,2024-12-05T11:37:00Z,1573-1-1-00002,,device_not_recording
1733398680000,2024-12-05T11:38:00Z,1573-1-1-00002,,device_not_recording
1733398740000,2024-12-05T11:39:00Z,1573-1-1-00002,,device_not_recording
1733398800000,2024-12-05T11:40:00Z,1573-1-1-00002,,device_not_recording
1733398860000,2024-12-05T11:41:00Z,1573-1-1-00002,,device_not_recording
1733398920000,2024-12-05T11:42:00Z,1573-1-1-00002,,device_not_recording
1733398980000,2024-12-05T11:43:00Z,1573-1-1-00002,,device_not_recording
1733399040000,2024-12-05T11:44:00Z,1573-1-1-00002,,device_not_recording
1733399100000,2024-12-05T11:45:00Z,1573-1-1-00002,,device_not_recording
1733399160000,2024-12-05T11:46:00Z,1573-1-1-00002,,device_not_recording
1733399220000,2024-12-05T11:47:00Z,1573-1-1-00002,,device_not_recording
1733399280000,2024-12-05T11:48:00Z,1573-1-1-00002,,device_not_recording
1733399340000,2024-12-05T11:49:00Z,1573-1-1-00002,,device_not_recording
1733399400000,2024-12-05T11:50:00Z,1573-1-1-00002,,device_not_recording
1733399460000,2024-12-05T11:51:00Z,1573-1-1-00002,,device_not_recording
1733399520000,2024-12-05T11:52:00Z,1573-1-1-00002,,device_not_recording
1733399580000,2024-12-05T11:53:00Z,1573-1-1-00002,,device_not_recording
1733399640000,2024-12-05T11:54:00Z,1573-1-1-00002,,device_not_recording
1733399700000,2024-12-05T11:55:00Z,1573-1-1-00002,,device_not_recording
1733399760000,2024-12-05T11:56:00Z,1573-1-1-00002,,device_not_recording
1733399820000,2024-12-05T11:57:00Z,1573-1-1-00002,,device_not_recording
1733399880000,2024-12-05T11:58:00Z,1573-1-1-00002,,device_not_recording
1733399940000,2024-12-05T11:59:00Z,1573-1-1-00002,,device_not_recording
