timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1749481980000,2025-06-09T15:13:00Z,1573-1-1-002,,device_not_recording
1749482040000,2025-06-09T15:14:00Z,1573-1-1-002,,device_not_recording
1749482100000,2025-06-09T15:15:00Z,1573-1-1-002,,device_not_recording
1749482160000,2025-06-09T15:16:00Z,1573-1-1-002,,device_not_recording
1749482220000,2025-06-09T15:17:00Z,1573-1-1-002,,device_not_recording
1749482280000,2025-06-09T15:18:00Z,1573-1-1-002,,device_not_recording
1749482340000,2025-06-09T15:19:00Z,1573-1-1-002,,device_not_recording
1749482400000,2025-06-09T15:20:00Z,1573-1-1-002,,device_not_recording
1749482460000,2025-06-09T15:21:00Z,1573-1-1-002,,device_not_recording
1749482520000,2025-06-09T15:22:00Z,1573-1-1-002,,device_not_recording
1749482580000,2025-06-09T15:23:00Z,1573-1-1-002,,device_not_recording
1749482640000,2025-06-09T15:24:00Z,1573-1-1-002,,device_not_recording
1749482700000,2025-06-09T15:25:00Z,1573-1-1-002,,device_not_recording
1749482760000,2025-06-09T15:26:00Z,1573-1-1-002,,device_not_recording
1749482820000,2025-06-09T15:27:00Z,1573-1-1-002,,device_not_recording
1749482880000,2025-06-09T15:28:00Z,1573-1-1-002,,device_not_recording
1749482940000,2025-06-09T15:29:00Z,1573-1-1-002,,device_not_recording
1749483000000,2025-06-09T15:30:00Z,1573-1-1-002,,device_not_recording
1749483060000,2025-06-09T15:31:00Z,1573-1-1-002,,device_not_recording
1749483120000,2025-06-09T15:32:00Z,1573-1-1-002,,device_not_recording
1749483180000,2025-06-09T15:33:00Z,1573-1-1-002,,device_not_recording
1749483240000,2025-06-09T15:34:00Z,1573-1-1-002,,device_not_recording
1749483300000,2025-06-09T15:35:00Z,1573-1-1-002,,device_not_recording
1749483360000,2025-06-09T15:36:00Z,1573-1-1-002,,device_not_recording
1749483420000,2025-06-09T15:37:00Z,1573-1-1-002,,device_not_recording
1749483480000,2025-06-09T15:38:00Z,1573-1-1-002,,device_not_recording
1749483540000,2025-06-09T15:39:00Z,1573-1-1-002,,device_not_recording
1749483600000,2025-06-09T15:40:00Z,1573-1-1-002,,device_not_recording
1749483660000,2025-06-09T15:41:00Z,1573-1-1-002,,device_not_recording
1749483720000,2025-06-09T15:42:00Z,1573-1-1-002,,device_not_recording
1749483780000,2025-06-09T15:43:00Z,1573-1-1-002,,device_not_recording
1749483840000,2025-06-09T15:44:00Z,1573-1-1-002,,device_not_recording
1749483900000,2025-06-09T15:45:00Z,1573-1-1-002,,device_not_recording
