id_participant,task_type,numero_sequence,time_beginning,time_ending
1573-1-1-21,Perception,7,1749489025.8750231,1749489039.431379
1573-1-1-21,Perception,25,1749489047.9844537,1749489061.5408096
1573-1-1-21,Perception,3,1749489062.8285038,1749489076.3848598
1573-1-1-21,Perception,23,1749489080.661204,1749489094.21756
1573-1-1-21,Perception,22,1749489115.4949844,1749489129.0513403
1573-1-1-21,Perception,9,1749489133.392461,1749489146.948817
1573-1-1-21,Perception,8,1749489154.8681087,1749489168.4244647
1573-1-1-21,Perception,11,1749489175.54159,1749489189.097946
1573-1-1-21,Perception,14,1749489190.0494757,1749489203.6058316
1573-1-1-21,Perception,5,1749489207.5849695,1749489221.1413257
1573-1-1-21,Reproduction,22,1749489341.425424,1749489354.98178
1573-1-1-21,Reproduction,5,1749489363.2583454,1749489376.8147013
1573-1-1-21,Reproduction,21,1749489381.4719374,1749489395.0282934
1573-1-1-21,Reproduction,16,1749489398.7636676,1749489412.3200235
1573-1-1-21,Reproduction,19,1749489415.9093225,1749489429.4656785
1573-1-1-21,Reproduction,11,1749489434.5529516,1749489448.1093075
1573-1-1-21,Reproduction,10,1749489450.2900436,1749489463.8463995
1573-1-1-21,Reproduction,24,1749489467.5071394,1749489481.0634954
1573-1-1-21,Reproduction,23,1749489484.843235,1749489498.399591
1573-1-1-21,Reproduction,8,1749489502.9062665,1749489516.4626224
1573-1-1-21,Reproduction,17,1749489539.046331,1749489552.602687
1573-1-1-21,Reproduction,4,1749489559.729225,1749489573.2855809
1573-1-1-21,Reproduction,13,1749489579.6614313,1749489593.2177873
1573-1-1-21,Reproduction,25,1749489647.6215062,1749489661.1778622
1573-1-1-21,Reproduction,26,1749489664.8371985,1749489678.3935542
1573-1-1-21,Reproduction,9,1749489689.3491845,1749489702.9055405
1573-1-1-21,Reproduction,6,1749489706.14893,1749489719.705286
1573-1-1-21,Reproduction,18,1749489722.851289,1749489736.407645
1573-1-1-21,Reproduction,20,1749489741.198076,1749489754.754432
1573-1-1-21,Reproduction,2,1749489758.511063,1749489772.067419
1573-1-1-21,Reproduction,12,1749489787.1520398,1749489800.7083955
1573-1-1-21,Reproduction,7,1749489807.5856493,1749489821.1420052
1573-1-1-21,Reproduction,15,1749489824.9814403,1749489838.5377965
1573-1-1-21,Reproduction,1,1749489841.8656993,1749489855.4220552
1573-1-1-21,Reproduction,14,1749489858.6181786,1749489872.1745346
1573-1-1-21,Reproduction,3,1749489876.8706212,1749489890.4269772
1573-1-1-30,Perception,6,1749502259.418433,1749502272.974789
1573-1-1-30,Perception,2,1749502284.433125,1749502297.989481
1573-1-1-30,Perception,11,1749502308.3550143,1749502321.9113705
1573-1-1-30,Perception,26,1749502331.635523,1749502345.1918793
1573-1-1-30,Perception,7,1749502410.348204,1749502423.90456
1573-1-1-30,Perception,17,1749502426.5263865,1749502440.0827422
1573-1-1-30,Perception,15,1749502445.1359508,1749502458.6923068
1573-1-1-30,Perception,4,1749502468.2429495,1749502481.7993057
1573-1-1-30,Perception,21,1749502494.542402,1749502508.098758
1573-1-1-30,Perception,9,1749502518.8582425,1749502532.4145982
1573-1-1-30,Perception,8,1749502558.8649063,1749502572.4212625
1573-1-1-30,Perception,3,1749502574.9144194,1749502588.4707754
1573-1-1-30,Perception,12,1749502602.1761627,1749502615.732519
1573-1-1-30,Perception,25,1749502620.5681014,1749502634.1244574
1573-1-1-30,Perception,13,1749502651.7568643,1749502665.3132205
1573-1-1-30,Perception,5,1749502684.0374277,1749502697.5937836
1573-1-1-30,Perception,1,1749502704.3604555,1749502717.9168117
1573-1-1-30,Perception,23,1749502727.653382,1749502741.209738
1573-1-1-30,Perception,18,1749502748.605404,1749502762.16176
1573-1-1-30,Perception,22,1749502799.8316183,1749502813.3879745
1573-1-1-30,Perception,24,1749502842.0311282,1749502855.587484
1573-1-1-30,Perception,16,1749502864.830997,1749502878.387353
1573-1-1-30,Perception,14,1749502883.055512,1749502896.611868
1573-1-1-30,Perception,20,1749502904.8138814,1749502918.3702374
1573-1-1-30,Perception,19,1749502920.3169875,1749502933.8733437
1573-1-1-30,Perception,10,1749502939.3567216,1749502952.9130776
1573-1-1-30,Reproduction,13,1749503134.937739,1749503148.4940948
1573-1-1-30,Reproduction,2,1749503159.6709,1749503173.227256
1573-1-1-30,Reproduction,7,1749503178.606259,1749503192.162615
1573-1-1-30,Reproduction,10,1749503198.6691728,1749503212.2255287
1573-1-1-30,Reproduction,22,1749503220.2399032,1749503233.7962592
1573-1-1-30,Reproduction,26,1749503240.7147164,1749503254.2710724
1573-1-1-30,Reproduction,11,1749503260.3724847,1749503273.9288406
1573-1-1-30,Reproduction,20,1749503278.8337798,1749503292.3901358
1573-1-1-30,Reproduction,18,1749503305.1046054,1749503318.6609614
1573-1-1-30,Reproduction,16,1749503326.4030898,1749503339.9594457
1573-1-1-30,Reproduction,6,1749503358.8924663,1749503372.4488225
1573-1-1-30,Reproduction,3,1749503379.6521947,1749503393.2085507
