IDParticpant,NumeroSequence,TempoAssocie,NoteAssocie
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,26,110,5
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,1,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,2,110,4
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,3,90,1
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,4,90,1
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,5,70,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,6,110,1
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,7,70,1
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,8,70,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,9,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,10,110,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,11,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,12,110,1
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,13,110,1
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,14,70,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,15,110,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,16,70,1
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,17,110,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,18,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,19,70,2
