id_participant,task_type,sequence_number,complexity
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,Perception,11,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,Perception,23,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,Perception,18,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,Perception,7,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,22,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,9,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,21,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,10,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,19,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,11,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,23,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,13,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,25,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,26,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,14,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,5,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,1,1
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,18,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,4,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,6,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,2,2
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,20,4
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,15,4
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,8,4
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,3,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,12,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,16,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,17,4
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,7,3
53d33c86425dcba79ad6ea2bcd7c387848102553dbda85a1682896fc95967039,Perception,24,5
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,Perception,24,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,Perception,14,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,Perception,10,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,Perception,21,4
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,Perception,2,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,Perception,12,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,Perception,5,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,Perception,4,1
